ItemKey,author ,number ,title ,type ,year ,EntryType,location ,month ,day 
patent4,"{T. Y. Al-Naffouri, N. Al-Dhahir, and M. S. Sohail","{8223862,",{OFDM inter-carrier interference cancelation method,{Patent,{2012,Patent,{US,{Jul,{17
patent19,"{Sajid Ahmed, T. Y. Al-Naffouri, Mohamed-Slim Alouini, and Taha Bouchoucha","{Pending US patent, PCT no.IB2016/052870.",{Direct Closed-Form Finite Alphabet Constant-Envelope Waveform Design for Planar Array Beampatterns,{Patent,{,Patent,{US,{,{
patent5,"{Tarig Ballal Khidir Ahmed,T. Y. Al-Naffouri, Ibrahim Hoteit, Furrukh Sana",{9532735,{Apparatus and method for wireless monitoring using ultra-wideband frequencies,{Patent,{2013,Patent,{US,{Oct,{23
patent22,"{K. Majeed, S. Sorour, T. Y. Al-Naffouri, and S. Valaee",{patent submitted,{RSS-Based Indoor Localization with No Deployment nor Update Efforts,{Patent,{,Patent,{US,{,{
patent20,"{Tarig Ballal Khidir Ahmed, T. Y. Al-Naffouri, and Hui Chen",{US patent submitted,{An Ultrasound Based Air-Writing System,{Patent,{,Patent,{US,{,{
Majeed2017Rss,"{K. Majeed, S. Sorour, T. Y. Al-Naffouri, S. Valaee",{US patent submitted,{RSS-Based Indoor Localization with No Deployment nor Update Efforts,{,{,Patent,{,{,{
patent13,"{Furrukh Sana, Tarig Ballal, T. Y. Al-Naffouri, and Ibrahim Hoteit",{9532735,{Apparatus and Method for Wireless Monitoring Using Ultra-Wideband Frequencies,{Patent,{2017,Patent,{US,{Jan,{3
patent18,"{Mohamed-slim, Alouini, Ahmed Douik, Salah A. Aly, and T. Y. Al-Naffouri",{US-2018-0227188-A1,{Robust Node Estimation and Topology Discovery for Large-Scale Networks,{Patent,{2018,Patent,{US,{Aug,{09
patent12,"{Ahmed Syed Faraz, and T. Y. Al-Naffouri",{9450786,{Low-Complexity Method for Estimating Impulse-Radio UWB Wireless Channels,{Patent,{2016,Patent,{US,{Sep,{20
patent8,"{T. Y. Al-Naffouri, N. Al-Dhahir, and M. S. Sohail",{8705642,{Method for mitigating interference in OFDM communications systems,{Patent,{2014,Patent,{US,{Apr,{22
Quadeer2009Cyclic,{T. Y. Al-Naffouri and A. A. Quadeer,{US8194799B2,{Cyclic prefix-based enhanced data recovery method,{Grant,{2009,Patent,{US,{Mar,{
patent17,"{T. Y. Al-Naffouri, and Mohamed Saadeldin","{Pending US patent, PCT no. IB2017/052540",{Smart Parking System,{Patent,{,Patent,{US,{,{
patent11,"{Anum Ali, Damilola S. Owodunni, Oualid Hammi, T. Y. Al-Naffouri",{9137082,{System and Method for Joint Compensation of Power Amplifierâ€™s Distortion,{Patent,{2015,Patent,{US,{Sep,{15
patent2,"{G. Caire, T. Y. Al-Naffouri, and A. A. Quadeer",{8213525,{Method of estimating and removing noise in OFDM systems,{Patent,{2012,Patent,{US,{Jul,{03
patent6,"{T. Y. Al-Naffouri, E. B. Al-Safadi, and M. E. Eltayeb","{8483296,",{OFDM Peak-to-Average Power Ratio Reduction Method,{Patent,{2013,Patent,{US,{Jul,{09
patent9,{T. Y. Al-Naffouri and A. A. Quadeer,{8861655,{Method of performing structure-based Bayesian sparse signal reconstruction,{Patent,{2014,Patent,{US,{Oct,{14
patent10,"{Zahid Saleem, Samir Alghadhban, and T. Y. Al-Naffouri",{8958750,{Peak Detection Method Using Blind Source Separation,{Patent,{2015,Patent,{US,{Feb,{17
patent7,{Ebrahim A-Safadi and T. Y. Al-Naffouri,{8804862,{Method of Performing Peak Reduction and Clipping Mitigation,{Patent,{2014,Patent,{US,{Aug,{12
patent14,"{Rabe Arshad, Hesham ElSawy, Sameh Sorour, T. Y. Al-Naffouri, and Mohamed-Slim Alouini",{PCT/IB2017/051714,{Reducing Handover Signaling in Dense Cellular Networks through Base Station Skipping,{Patent,{2017,Patent,{US,{Mar,{24
patent15,"{Tarig Ballal Khidir Ahmed, T. Y. Al-Naffouri, Ibrahim Hoteit, and Furrukh Sana","{Pending US patent, PCT no. PCT/IB2017/057853",{Non-Invasive Fetal Electrocardiogram Extraction from Abdominal Electrocardiogram Signals of Pregnant Women Exploiting joint Sparse Supports in a Dual Dictionary Framework,{Patent,{,Patent,{US,{,{
patent3,{T. Y. Al-Naffouri and A. A. Quadeer,"{8194799,",{Cyclic Prefix Based Enhanced Data Recovery Method,{Patent,{2012,Patent,{US,{Jun,{5
patent1,"{G. Alrawi, A. Bahai, T. Y. Al-Naffouri, and J. Cioffi","{7633849,",{Coded OFDM system using error control coding and cyclic prefix for channel estimation,{Patent,{2009,Patent,{US,{Dec,{15
patent21,"{Tarig Ballal Khidir Ahmed, T. Y. Al-Naffouri, Hui Chen, and Mohamed Saadeldin",{US patent submitted,{A Gesture Recognition System Using Ultrasonic Angle-of-Arrival Information,{Patent,{,Patent,{US,{,{
